id,question_type,language,question,expected_refusal,expected_sections,retrieved_section_titles,retrieved_drug_names,retrieval_hit_at_k,refusal_correct,citation_present,retrieval_latency_ms,total_latency_ms,answer,manual_answer_correct,manual_grounded,manual_citation_correct
eval_012,answerable,en,What warnings are listed for BusPIRone Hydrochloride Tablets?,False,,"ADVERSE REACTIONS, Postmarketing Experience | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | Starting buspirone in a patient who is being treated with reversible MAOIs such as linezolid or intravenous methylene blue is also contraindicated because of an increased risk of serotonin syndrome. (see WARNINGS, DOSAGE AND ADMINISTRATION AND CONCOMITANT DRUG). | ADVERSE REACTIONS | ADVERSE REACTIONS | ADVERSE REACTIONS (See also PRECAUTIONS)","A-S Medication Solutions | BUSPIRONE | BUSPIRONE | BUSPIRONE | BusPIRone Hydrochloride Tablets | A-S Medication Solutions | Buspirone Hydrochloride Tablets, USP",False,,False,26.04,26.21,Error: UC3M_API_KEY is not set.,,,
eval_013,answerable,en,What drug interactions are listed for BusPIRone Hydrochloride Tablets?,False,,"The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | ADVERSE REACTIONS, Postmarketing Experience | Because buspirone can bind to central dopamine receptors, a question has been raised about its potential to cause acute and chronic changes in dopamine-mediated neurological function (e.g., dystonia, pseudo-parkinsonism, akathisia, and tardive dyskinesia). Clinical experience in controlled trials has failed to identify any significant neuroleptic-like activity; however, a syndrome of restlessness, appearing shortly after initiation of treatment, has been reported in some small fraction of buspirone-treated patients. The syndrome may be explained in several ways. For example, buspirone may increase central noradrenergic activity; alternatively, the effect may be attributable to dopaminergic effects (i.e., represent akathisia). See ADVERSE REACTIONS: POSTMARKETING EXPERIENCE. | In human and animal studies, buspirone has shown no potential for abuse or diversion and there is no evidence that it causes tolerance, or either physical or psychological dependence. Human volunteers with a history of recreational drug or alcohol usage were studied in two double-blind clinical investigations. None of the subjects were able to distinguish between buspirone hydrochloride tablets and placebo. By contrast, subjects showed a statistically significant preference for methaqualone and diazepam. Studies in monkeys, mice, and rats have indicated that buspirone lacks potential for abuse. | Buspirone is metabolized primarily by oxidation, which in vitro has been shown to be mediated by cytochrome P450 3A4 (CYP3A4). (See PRECAUTIONS: DRUG INTERACTIONS.) Several hydroxylated derivatives and a pharmacologically active metabolite, 1-pyrimidinylpiperazine (1-PP), are produced. In animal models predictive of anxiolytic potential, 1-PP has about one quarter of the activity of buspirone, but is present in up to 20-fold greater amounts. However, this is probably not important in humans: blood samples from humans chronically exposed to buspirone hydrochloride tablets do not exhibit high levels of 1-PP; mean values are approximately 3 ng/mL and the highest human blood level recorded among 108 chronically dosed patients was 17 ng/mL, less than 1/200th of 1-PP levels found in animals given large doses of buspirone without signs of toxicity. | DRUG INTERACTIONS","BUSPIRONE | BUSPIRONE | A-S Medication Solutions | BUSPIRONE | Buspirone Hydrochloride Tablets, USP | BUSPIRONE | BusPIRone Hydrochloride Tablets",False,,False,27.68,27.76,Error: UC3M_API_KEY is not set.,,,
eval_014,answerable,en,What are the contraindications for BusPIRone Hydrochloride Tablets?,False,,"The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | ADVERSE REACTIONS, Postmarketing Experience | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | Starting buspirone in a patient who is being treated with reversible MAOIs such as linezolid or intravenous methylene blue is also contraindicated because of an increased risk of serotonin syndrome. (see WARNINGS, DOSAGE AND ADMINISTRATION AND CONCOMITANT DRUG). | ADVERSE REACTIONS | ADVERSE REACTIONS | ADVERSE REACTIONS (See also PRECAUTIONS)","BUSPIRONE | A-S Medication Solutions | BUSPIRONE | BUSPIRONE | A-S Medication Solutions | BusPIRone Hydrochloride Tablets | Buspirone Hydrochloride Tablets, USP",False,,False,21.51,21.56,Error: UC3M_API_KEY is not set.,,,
eval_015,answerable,en,What adverse reactions are described for BusPIRone Hydrochloride Tablets?,False,,"The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | The table that follows enumerates adverse events that occurred at a frequency of 1% or more among buspirone hydrochloride patients who participated in 4-week, controlled trials comparing buspirone hydrochloride tablets with placebo. The frequencies were obtained from pooled data for 17 trials. The prescriber should be aware that these figures cannot be used to predict the incidence of side effects in the course of usual medical practice where patient characteristics and other factors differ from those which prevailed in the clinical trials. Similarly, the cited frequencies cannot be compared with figures obtained from other clinical investigations involving different treatments, uses, and investigators. Comparison of the cited figures, however, does provide the prescribing physician with some basis for estimating the relative contribution of drug and nondrug factors to the side-effect incidence rate in the population studied. | ADVERSE REACTIONS, Postmarketing Experience | Starting buspirone in a patient who is being treated with reversible MAOIs such as linezolid or intravenous methylene blue is also contraindicated because of an increased risk of serotonin syndrome. (see WARNINGS, DOSAGE AND ADMINISTRATION AND CONCOMITANT DRUG). | ADVERSE REACTIONS (See also PRECAUTIONS) | ADVERSE REACTIONS | ADVERSE REACTIONS","BUSPIRONE | BUSPIRONE | A-S Medication Solutions | BUSPIRONE | Buspirone Hydrochloride Tablets, USP | A-S Medication Solutions | BusPIRone Hydrochloride Tablets",False,,False,23.3,23.35,Error: UC3M_API_KEY is not set.,,,
eval_016,answerable,en,"What is Lorazepam Tablets, USP CIV indicated for?",False,,HOW SUPPLIED | INDICATIONS AND USAGE | INDICATIONS AND USAGE | INDICATIONS AND USAGE | PRECAUTIONS: Drug Interactions | WARNINGS: Clinical Worsening and Suicide Risk | Drug Interactions,"Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV | LISINOPRIL AND HYDROCHLOROTHIAZIDE USP | BENZTROPINE MESYLATE Tablets USP | Lorazepam Tablets, USP CIV | Imipramine Hydrochloride Tablets, USP | Lorazepam Tablets, USP CIV",False,,False,18.41,18.51,Error: UC3M_API_KEY is not set.,,,
eval_017,answerable,en,"How is Lorazepam Tablets, USP CIV administered?",False,,HOW SUPPLIED | PRECAUTIONS: Drug Interactions | INDICATIONS AND USAGE | Compare to the active ingredient in Prevacid | Drug Interactions | WARNINGS | DOSAGE AND ADMINISTRATION,"Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV | Walgreen Co. Lansoprazole Drug Facts | Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV",False,,False,33.24,33.36,Error: UC3M_API_KEY is not set.,,,
eval_018,answerable,en,"What warning is given about taking Lorazepam Tablets, USP CIV with opioids?",False,,PRECAUTIONS: Drug Interactions | Drug Interactions | WARNINGS | WARNINGS | WARNINGS | WARNINGS | Boxed Warning,"Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV | Lorazepam Tablets, USP CIV | Clonazepam Tablets, USP | Clonazepam Tablets, USP CIV | Diazepam",False,,False,31.78,31.9,Error: UC3M_API_KEY is not set.,,,
eval_019,answerable,en,What is Zafirlukast indicated for?,False,,"INDICATIONS AND USAGE | ADVERSE REACTIONS | DOSAGE AND ADMINISTRATION | PRECAUTIONS, Drug Interactions | ADVERSE REACTIONS | Inactive ingredients | Drug Interactions",Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast,False,,False,23.89,23.94,Error: UC3M_API_KEY is not set.,,,
eval_020,answerable,en,How should Zafirlukast be taken with respect to meals?,False,,"DOSAGE AND ADMINISTRATION | DOSAGE AND ADMINISTRATION | ADVERSE REACTIONS | PRECAUTIONS, Drug Interactions | INDICATIONS AND USAGE | ADVERSE REACTIONS | HOW SUPPLIED",Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast | Zafirlukast,False,,False,21.19,21.26,Error: UC3M_API_KEY is not set.,,,
eval_021,answerable,es,¿Para qué condiciones se usa Acyclovir Tablets USP?,False,,"HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED | INDICATIONS AND USAGE | Acetaminophen is rapidly absorbed from the gastrointestinal tract and is distributed throughout most body tissues. A small fraction (10 to 25%) of acetaminophen is bound to plasma proteins. The plasma half-life is 1.25 to 3 hours, but may be increased by liver damage and following overdosage. Elimination of acetaminophen is principally by liver metabolism (conjugation) and subsequent renal excretion of metabolites. Acetaminophen is primarily metabolized in the liver by first-order kinetics and involves three principal separate pathways: conjugation with glucuronide; conjugation with sulfate; and oxidation via the cytochrome, P450-dependent, mixed-function oxidase enzyme pathway to form a reactive intermediate metabolite, which conjugates with glutathione and is then further metabolized to form cysteine and mercapturic acid conjugates. The principal cytochrome P450 isoenzyme involved appears to be CYP2E1, with CYP1A2 and CYP3A4 as additional pathways. Approximately 85% of an oral dose appears in the urine within 24 hours of administration, most as the glucuronide conjugate, with small amounts of other conjugates and unchanged drug [see OVERDOSAGE] for toxicity information.","PRESCRIBING INFORMATION | Acyclovir Tablets, USP | Acyclovir Tablets USP | ACYCLOVIR CAPSULES USP | ACYCLOVIR CAPSULES, USP | BENZTROPINE MESYLATE Tablets USP | Oxycodone/APAP",False,,False,28.04,28.19,Error: UC3M_API_KEY is not set.,,,
eval_022,answerable,en,Summarize the oral dosing instructions for Acyclovir Tablets USP.,False,,HOW SUPPLIED | ADVERSE REACTIONS | HOW SUPPLIED | ADVERSE REACTIONS | OVERDOSAGE | OVERDOSAGE | ADVERSE REACTIONS,"PRESCRIBING INFORMATION | PRESCRIBING INFORMATION | Acyclovir Tablets USP | ACYCLOVIR CAPSULES USP | Acyclovir Tablets USP | ACYCLOVIR CAPSULES, USP | Acyclovir Tablets, USP",False,,False,25.36,25.52,Error: UC3M_API_KEY is not set.,,,
eval_023,answerable,fr,Quelles mises en garde sont mentionnées pour Acyclovir Tablets USP ?,False,,HOW SUPPLIED | HOW SUPPLIED | HOW SUPPLIED | WARNINGS | WARNINGS | WARNINGS | WARNINGS,"Acyclovir Tablets, USP | PRESCRIBING INFORMATION | Acyclovir Tablets USP | Acyclovir Tablets, USP | PRESCRIBING INFORMATION | Acyclovir Tablets USP | ACYCLOVIR CAPSULES, USP",False,,False,28.1,28.15,Error: UC3M_API_KEY is not set.,,,
eval_024,answerable,de,Bei welchen Gegenanzeigen darf Acyclovir Tablets USP nicht angewendet werden?,False,,WARNINGS | HOW SUPPLIED | WARNINGS | WARNINGS | HOW SUPPLIED | HOW SUPPLIED | WARNINGS,"Acyclovir Tablets, USP | PRESCRIBING INFORMATION | PRESCRIBING INFORMATION | Acyclovir Tablets USP | Acyclovir Tablets USP | Acyclovir Tablets, USP | ACYCLOVIR CAPSULES, USP",False,,False,24.12,24.17,Error: UC3M_API_KEY is not set.,,,
eval_025,answerable,en,"Which infections does Cephalexin for Oral Suspension, USP treat according to the label?",False,,"1 INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | 1 INDICATIONS AND USAGE | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance. | Cephalexin has been shown to be active against most isolates of the following bacteria both in vitro and in clinical infections [see Indications and Usage (1)] | 5 WARNINGS AND PRECAUTIONS | 2 DOSAGE AND ADMINISTRATION","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | CEPHALEXIN | CEPHALEXIN | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,18.16,18.23,Error: UC3M_API_KEY is not set.,,,
eval_026,answerable,pt,"Qual é a posologia usual de Cephalexin for Oral Suspension, USP para adultos?",False,,1 INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | 1 INDICATIONS AND USAGE | 2 DOSAGE AND ADMINISTRATION | INDICATIONS AND USAGE | Cephalexin has been shown to be active against most isolates of the following bacteria both in vitro and in clinical infections [see Indications and Usage (1)] | Purpose*,"Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cefdinir for Oral Suspension USP | CEPHALEXIN | ColdCalm Tablets",False,,False,19.68,19.73,Error: UC3M_API_KEY is not set.,,,
eval_027,answerable,it,"Quali precauzioni importanti riporta l'etichetta di Cephalexin for Oral Suspension, USP?",False,,"1 INDICATIONS AND USAGE | 16 HOW SUPPLIED/STORAGE AND HANDLING | 1 INDICATIONS AND USAGE | INDICATIONS AND USAGE | Cephalexin should be administered with careful monitoring in the presence of renal impairment (creatinine clearance < 30 mL/min, with or without dialysis). Under such conditions, careful clinical observation and laboratory studies renal function monitoring should be conducted because safe dosage may be lower than that usually recommended [see Dosage and Administration (2.3)].Monitor patients longer for toxicity and drug interactions due to delayed clearance. | 2 DOSAGE AND ADMINISTRATION | 8 USE IN SPECIFIC POPULATIONS","Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP | Cefdinir for Oral Suspension USP | CEPHALEXIN | Cephalexin for Oral Suspension, USP | Cephalexin for Oral Suspension, USP",False,,False,21.54,21.64,Error: UC3M_API_KEY is not set.,,,
