id,language,original_question,english_translation,expected_support,retrieved_documents,hit,recall,precision,mrr,latency_ms
eval_024,en,Can patients allergic to cephalosporins take Cephalexin?,Can patients allergic to cephalosporins take Cephalexin?,"[('cephalexin for', 'safety_risk')]","[('cephalexin to reduce the development of drugresistant bacteria and maintain the effectiveness of cephalexin and other antibacterial drugs cephalexin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria', 'general_info'), ('cephalexin to reduce the development of drugresistant bacteria and maintain the effectiveness of cephalexin and other antibacterial drugs cephalexin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info')]",0,0.0,0.0,0.0,69.61
eval_025,it,La cefalexina interagisce con la metformina?,'Does cephalexin interact with metformin?',"[('cephalexin for', 'adverse_interactions')]","[('description', 'adverse_interactions'), ('description', 'adverse_interactions'), ('', 'adverse_interactions'), ('', 'adverse_interactions'), ('cephalexin', 'adverse_interactions'), ('cephalexin', 'adverse_interactions'), ('cephalexin', 'adverse_interactions'), ('cephalexin for', 'adverse_interactions')]",1,1.0,0.75,0.3333,80.03
eval_026,pt,Qual é a dose de Cephalexin para crianças com otite média?,What is the dosage of Cephalexin for children with acute otitis media?,"[('cephalexin for', 'usage_clinical')]","[('cephalexin 250 and 500 cephalexin for 125 mg5 and 250 mg5 cephalexin 250 and 500 3145 3147 4175 4177 2238 2240', 'general_info'), ('cephalexin 250 and 500 cephalexin for 125 mg5 and 250 mg5 cephalexin 250 and 500 3145 3147 4175 4177 2238 2240', 'general_info'), ('cephalexin 250 and 500 cephalexin for 125 mg5 and 250 mg5 cephalexin 250 and 500 mg314531474175417722382240rx only', 'general_info'), ('', 'usage_clinical'), ('cephalexin for', 'general_info'), ('clinical pharmacology', 'usage_clinical'), ('cephalexin 250 and 500 cephalexin for 125 mg5 and 250 mg5 cephalexin 250 and 500 mgrx only', 'general_info'), ('cephalexin 500', 'general_info')]",1,1.0,0.125,0.25,66.78
eval_027,hi,बस्पिरोन हाइड्रोक्लोराइड टैबलेट किस मानसिक स्थिति के इलाज के लिए उपयोग की जाती है?,Buspiron hydrochloride tablets are used for the treatment of certain mental conditions.,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone hydrochloride', 'product_logistics'), ('buspirone hydrochloride', 'product_logistics'), ('buspirone hydrochloride', 'product_logistics'), ('buspirone hydrochloride', 'product_logistics'), ('buspirone hydrochloride', 'product_logistics'), ('buspirone hydrochloride patient instruction sheet included', 'product_logistics'), ('buspirone hydrochloride', 'product_logistics'), ('buspirone hydrochloride', 'product_logistics')]",0,0.0,0.0,0.0,62.93
eval_028,th,ยา BusPIRone มีปฏิกิริยากับยาอื่นอย่างไร?,What are the interactions of Buspirone with other medications?,"[('buspirone hydrochloride', 'adverse_interactions')]","[('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions')]",1,1.0,1.0,1.0,64.07
eval_029,en,Is BusPIRone safe for patients with liver problems?,Is BusPIRone safe for patients with liver problems?,"[('buspirone hydrochloride', 'safety_risk')]","[('description', 'safety_risk'), ('description', 'safety_risk'), ('patient instruction sheet', 'general_info'), ('description', 'general_info'), ('buspirone hydrochloride usp0053005410035200rx only', 'general_info'), ('buspirone hydrochloride usp0053005410035200rx only', 'general_info'), ('buspirone hydrochloride usp0053005410035200rx only', 'general_info')]",0,0.0,0.0,0.0,72.28
eval_030,es,¿Qué síntomas pueden aparecer si se toma demasiado Aciclovir?,What symptoms can appear if too much Aciclovir is taken?,"[('acyclovir', 'adverse_interactions')]","[('acyclovir', 'adverse_interactions'), ('', 'adverse_interactions'), ('acyclovir', 'general_info'), ('acyclovir 400 and 800', 'general_info'), ('acyclovir 400 and 800', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir', 'general_info')]",1,1.0,0.25,1.0,116.44
eval_031,fr,Est-ce que la céphaleXine peut provoquer une diarrhée grave ?,Can Cephalexin cause severe diarrhea?,"[('cephalexin for', 'safety_risk')]","[('description', 'general_info'), ('description', 'general_info'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexin cephalexin for useinitial us approval 1971', 'general_info'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexin cephalexin for useinitial us approval 1971', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexin cephalexin for useinitial us approval 1971', 'general_info')]",0,0.0,0.0,0.0,104.67
eval_032,de,Wie oft muss BusPIRone täglich eingenommen werden?,How often must Buspirone be taken daily?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('', 'usage_clinical'), ('description', 'usage_clinical'), ('description', 'usage_clinical'), ('', 'usage_clinical'), ('description', 'usage_clinical'), ('description', 'usage_clinical')]",1,1.0,0.5,1.0,70.87
eval_033,en,What happens if a patient taking Acyclovir becomes dehydrated?,What happens if a patient taking Acyclovir becomes dehydrated?,"[('acyclovir', 'safety_risk')]","[('acyclovir sodium', 'general_info'), ('acyclovir', 'adverse_interactions'), ('acyclovir', 'adverse_interactions'), ('acyclovir', 'adverse_interactions'), ('acyclovir', 'adverse_interactions'), ('', 'adverse_interactions'), ('acyclovir sodium', 'adverse_interactions')]",0,0.0,0.0,0.0,83.66
eval_034,it,Quali effetti collaterali comuni ha il BusPIRone?,What are the common side effects of Buspirone?,"[('buspirone hydrochloride', 'adverse_interactions')]","[('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone', 'adverse_interactions'), ('buspirone 10 149', 'general_info'), ('buspirone hydrochloride', 'general_info'), ('buspirone hydrochloride', 'general_info'), ('buspirone hydrochloride patient instruction sheet included', 'adverse_interactions')]",1,1.0,0.625,1.0,67.62
eval_035,pt,O Aciclovir pode ser tomado durante a gravidez?,Can acyclovir be taken during pregnancy?,"[('acyclovir', 'safety_risk')]","[('prescribing information acyclovir', 'special_populations'), ('acyclovir', 'general_info'), ('acyclovir and acyclovir usprx only', 'special_populations'), ('acyclovir and acyclovir', 'special_populations'), ('acyclovir', 'special_populations'), ('acyclovir 400 and 800', 'special_populations'), ('acyclovir 400 and 800', 'special_populations'), ('acyclovir', 'special_populations')]",0,0.0,0.0,0.0,65.87
eval_036,en,Does Cephalexin affect how metformin is cleared from the body?,Does Cephalexin affect how metformin is cleared from the body?,"[('cephalexin for', 'adverse_interactions')]","[('', 'adverse_interactions'), ('', 'adverse_interactions'), ('cephalexin', 'adverse_interactions'), ('description', 'adverse_interactions'), ('description', 'adverse_interactions'), ('cephalexin', 'general_info'), ('cephalexin', 'adverse_interactions'), ('cephalexin', 'adverse_interactions')]",1,1.0,0.625,1.0,73.11
eval_037,es,¿Qué pasa si se administra Cephalexin a alguien con hipersensibilidad a las cefalosporinas?,What happens if someone with hypersensitivity to cephalosporins is administered Cephalexin?,"[('cephalexin for', 'safety_risk')]","[('cephalexin to reduce the development of drugresistant bacteria and maintain the effectiveness of cephalexin and other antibacterial drugs cephalexin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria', 'general_info'), ('cephalexin to reduce the development of drugresistant bacteria and maintain the effectiveness of cephalexin and other antibacterial drugs cephalexin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info'), ('cephalexin', 'general_info')]",0,0.0,0.0,0.0,76.95
eval_038,en,What is the maximum daily dose of BusPIRone that should not be exceeded?,What is the maximum daily dose of BusPIRone that should not be exceeded?,"[('buspirone hydrochloride', 'usage_clinical')]","[('buspirone 10 149', 'usage_clinical'), ('buspirone', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical'), ('', 'usage_clinical'), ('patient instruction sheet', 'usage_clinical'), ('buspirone hydrochloride', 'usage_clinical')]",1,1.0,0.75,0.5,67.38
eval_039,hi,Acyclovir का उपयोग जननांग दाद के इलाज के लिए कैसे किया जाता है?,How is Acyclovir used for treating genital herpes?,"[('acyclovir', 'usage_clinical')]","[('acyclovir', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir uspnivagen pharmaceuticals inc', 'general_info'), ('acy 400mg', 'general_info'), ('acyclovir 400', 'general_info'), ('acyclovir', 'general_info'), ('acyclovir usp200', 'general_info'), ('acyclovircapsules uspacyclovirtablets usprx only', 'general_info')]",0,0.0,0.0,0.0,70.45
eval_040,en,What seizure-related risk is mentioned in the warnings for Cephalexin Oral Suspension?,What seizure-related risk is mentioned in the warnings for Cephalexin Oral Suspension?,"[('cephalexin for', 'safety_risk')]","[('cephalexin for', 'safety_risk'), ('cephalexin for usprx only', 'safety_risk'), ('cephalexin for', 'safety_risk'), ('cephalexin to reduce the development of drugresistant bacteria and maintain the effectiveness of cephalexin and other antibacterial drugs cephalexin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria', 'adverse_interactions'), ('cephalexin to reduce the development of drugresistant bacteria and maintain the effectiveness of cephalexin and other antibacterial drugs cephalexin should be used only to treat or prevent infections that are proven or strongly suspected to be caused by bacteria', 'adverse_interactions'), ('cephalexin for', 'safety_risk'), ('these highlights do not include all the information needed to use cephalexin safely and effectively see full prescribing information for cephalexincephalexin for for useinitial us approval 1971', 'adverse_interactions'), ('cephalexin', 'adverse_interactions')]",1,1.0,0.5,1.0,72.11
